title,year,budget_millions,loss_millions,Plot,Metascore,imdbRating,Director,Language,omdb_year,match_status,Loss_Category
Turning Red,2022,175.0,173.0,"A thirteen-year-old girl named Mei Lee is torn between staying her mother's dutiful daughter and the changes of adolescence. And as if the challenges were not enough, whenever she gets overly excited Mei transforms into a giant re...",83,6.9,Domee Shi,"English, Cantonese, Korean",2022,Verified,Catastrophic
Valerian and the City of a Thousand Planets,2017,178.6,82.0,"A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the ...",51,6.4,Luc Besson,English,2017,Verified,Severe
West Side Story,2021,100.0,104.0,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",86,7.6,"Jerome Robbins, Robert Wise","English, Spanish",1961,Mismatch,Catastrophic
Wild Wild West,1999,170.0,66.2,"The two best special agents in the Wild West must save President Grant from the clutches of a diabolical, wheelchair-bound, steampunk-savvy, Confederate scientist bent on revenge for losing the Civil War.",40,4.9,Barry Sonnenfeld,English,1999,Verified,Severe
Windtalkers,2002,117.5,78.5,Two U.S. Marines in World War II are assigned to protect the Navajo Marines who use their native language as an unbreakable radio cipher.,51,6.1,John Woo,"English, Navajo, Japanese",2002,Verified,Severe
Wish,2023,200.0,125.0,A young girl wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.,47,5.6,"Chris Buck, Fawn Veerasunthorn",English,2023,Verified,Catastrophic
The Wolfman,2010,150.0,76.0,"Upon his return to his ancestral homeland, an American man is bitten and subsequently cursed by a werewolf.",43,5.9,Joe Johnston,"English, Romany, Romanian, Ukrainian",2010,Verified,Severe
Wonder Woman 1984,2020,200.0,117.5,"Wonder Woman finds herself battling two opponents, Maxwell Lord, a shrewd entrepreneur, and Barbara Minerva, a friend-turned-foe. Meanwhile, she also ends up crossing paths with her love interest.",60,5.3,Patty Jenkins,"English, Arabic, Russian, Mandarin",2020,Verified,Catastrophic
A Wrinkle in Time,2018,125.0,130.6,"After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.",53,4.3,Ava DuVernay,English,2018,Verified,Catastrophic
xXx: State of the Union,2005,113.1,78.0,"Darius Stone, a new agent in the xXx program, is sent to Washington, D.C. to stop a coup attempt against the President of the United States.",37,4.5,Lee Tamahori,English,2005,Verified,Severe
Zoom,2006,75.6,69.0,Former superhero Jack is called back to work to transform an unlikely group of ragtag kids into superheroes at a private academy.,26,4.4,Peter Hewitt,English,2006,Verified,Severe
