review,sentiment,movie
"I can't believe I wasted two hours of my life on this garbage. The writers clearly ran out of ideas halfway through, and the ending was an absolute joke.",Negative,Space Jam 2
"An instant classic! The action sequences are breathtaking, the humor is spot-on, and the world-building is phenomenal.",Positive,Mad Max: Fury Road
"This movie is so bad, it's almost good! The acting is over-the-top, the dialogue is cheesy, and the plot is completely ridiculous. A guilty pleasure.",Positive,Troll 2
"A genuine thrill ride from beginning to end. The suspense is palpable, the twists are unexpected, and the performances are top-notch.",Positive,Prisoners
Terrible acting and a nonsensical plot made this movie unbearable to watch.,Negative,Batman & Robin
"A beautiful film that explores complex themes with grace and sensitivity. The cinematography is breathtaking, and the performances are deeply moving.",Positive,Moonlight
Predictable and boring. I would rather watch paint dry than sit through this movie again.,Negative,The Emoji Movie
"The movie was alright, it neither impressed nor disappointed. It's just there.",Neutral,Ant-Man and the Wasp: Quantumania
"Exceptionally well done, the actors were perfectly cast - great movie!",Positive,The Shawshank Redemption
"I struggled to follow the story, the script writing was very poor.",Negative,Jupiter Ascending
"The storyline was well thought out, and the characters were believable. Worth my time.",Positive,Arrival
I felt like I was watching a low-budget film student project. Skip it.,Negative,Birdemic: Shock and Terror
"The acting was phenomenal, and the special effects were ground breaking. One of the best movies I have ever seen!",Positive,Everything Everywhere All at Once
